id;kode_provinsi;nama_provinsi;persentase_penduduk_miskin;tahun
190;97;PAPUA PEGUNUNGAN;0;2023
191;11;ACEH;14.23;2024
192;12;SUMATERA UTARA;7.99;2024
193;13;SUMATERA BARAT;5.97;2024
194;14;RIAU;6.67;2024
195;15;JAMBI;7.1;2024
196;16;SUMATERA SELATAN;10.97;2024
197;17;BENGKULU;13.56;2024
198;18;LAMPUNG;10.69;2024
199;19;KEPULAUAN BANGKA BELITUNG;4.55;2024
200;21;KEPULAUAN RIAU;5.37;2024
201;31;DKI JAKARTA;4.3;2024
202;32;JAWA BARAT;7.46;2024
203;33;JAWA TENGAH;10.47;2024
204;34;DI YOGYAKARTA;10.83;2024
205;35;JAWA TIMUR;9.79;2024
206;36;BANTEN;5.84;2024
207;51;BALI;4;2024
208;52;NUSA TENGGARA BARAT;12.91;2024
209;53;NUSA TENGGARA TIMUR;19.48;2024
210;61;KALIMANTAN BARAT;6.32;2024
211;62;KALIMANTAN TENGAH;5.17;2024
212;63;KALIMANTAN SELATAN;4.11;2024
213;64;KALIMANTAN TIMUR;5.78;2024
214;65;KALIMANTAN UTARA;6.32;2024
215;71;SULAWESI UTARA;7.25;2024
216;72;SULAWESI TENGAH;11.77;2024
217;73;SULAWESI SELATAN;8.06;2024
218;74;SULAWESI TENGGARA;11.21;2024
219;75;GORONTALO;14.57;2024
220;76;SULAWESI BARAT;11.21;2024
221;81;MALUKU;16.05;2024
222;82;MALUKU UTARA;6.32;2024
223;91;PAPUA BARAT;21.66;2024
224;92;PAPUA BARAT DAYA;18.13;2024
225;94;PAPUA;17.26;2024
226;95;PAPUA SELATAN;17.44;2024
227;96;PAPUA TENGAH;29.76;2024
228;97;PAPUA PEGUNUNGAN;32.97;2024
